email id,final delay,final status,number of retries,error cause
3528F830D1,38141,not sent,10,Message would exceed mailbox quota
76EFD83107,38155,not sent,11,Message would exceed mailbox quota
F333C83125,38254,not sent,13,Message would exceed mailbox quota
14D83830E7,38141,not sent,10,Message would exceed mailbox quota
7202583101,38171,not sent,10,Message would exceed mailbox quota
3727A83127,34134,not sent,12,Message would exceed mailbox quota
85D5583137,34172,not sent,12,Message would exceed mailbox quota
A123B8313B,34048,not sent,11,Message would exceed mailbox quota
CBC548313F,29728,not sent,11,Message would exceed mailbox quota
5A8BE83147,29785,not sent,11,Message would exceed mailbox quota
5F3B78314F,29785,not sent,11,Message would exceed mailbox quota
DDB0D83165,29783,not sent,11,Message would exceed mailbox quota
417F283175,29783,not sent,11,Message would exceed mailbox quota
2C90883511,29918,not sent,11,Message would exceed mailbox quota
9C540851B0,29907,not sent,11,Message would exceed mailbox quota
4DD4B85291,29763,not sent,11,Message would exceed mailbox quota
C4993852A3,25578,not sent,10,Message would exceed mailbox quota
6DD50852AF,25549,not sent,10,Message would exceed mailbox quota
0A6DA852BB,25528,not sent,10,Message would exceed mailbox quota
08C23852D0,25532,not sent,10,Message would exceed mailbox quota
90D69852D4,21334,not sent,9,Message would exceed mailbox quota
A542C852DA,21338,not sent,9,Message would exceed mailbox quota
91457852DC,21580,not sent,9,Message would exceed mailbox quota
2211D852E4,21433,not sent,9,Message would exceed mailbox quota
05986852F1,21370,not sent,9,Message would exceed mailbox quota
BB84E852FA,21461,not sent,9,Message would exceed mailbox quota
6A01185307,21411,not sent,8,Message would exceed mailbox quota
8217E8530C,21569,not sent,9,Message would exceed mailbox quota
300A385313,17379,not sent,8,Message would exceed mailbox quota
388BF8531C,17285,not sent,8,Message would exceed mailbox quota
D7D678531F,12988,not sent,7,Message would exceed mailbox quota
3C2E985324,13127,not sent,7,Message would exceed mailbox quota
E35AC85327,13017,not sent,7,Message would exceed mailbox quota
D39D58532C,13106,not sent,7,Message would exceed mailbox quota
D3F6785333,13074,not sent,7,Message would exceed mailbox quota
055458533A,13019,not sent,7,Message would exceed mailbox quota
5503885341,12958,not sent,7,Message would exceed mailbox quota
320DE8534C,12953,not sent,7,Message would exceed mailbox quota
4C5C085351,13077,not sent,7,Message would exceed mailbox quota
09C7785365,8940,not sent,6,Message would exceed mailbox quota
4226F85378,8758,not sent,6,Message would exceed mailbox quota
91CA185381,8973,not sent,6,Message would exceed mailbox quota
333078534F,4640,not sent,5,Message would exceed mailbox quota
9264185398,4568,not sent,5,Message would exceed mailbox quota
6BA888539A,2394,not sent,4,Message would exceed mailbox quota
0FEF9853A0,2231,not sent,4,Message would exceed mailbox quota
8FD0A853AB,474,not sent,2,Message would exceed mailbox quota
1462E853AF,1,not sent,1,Message would exceed mailbox quota
